Current Path,Current Filename,Proposed Path,Proposed Filename,Page Using Image,Uses Count,Section,Subfolder,Cross-Section?,Is CDN?,WebP Candidate?,Status
/logos/adar.png,adar.png,images/logos/adar.png,adar.png,src/components/Footer.astro | src/components/Header.astro,2,logos,,no,no,yes,pending
/logos/asturias.png,asturias.png,images/logos/asturias.png,asturias.png,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/ballarte.png,ballarte.png,images/logos/ballarte.png,ballarte.png,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/caja-rural.jpg,caja-rural.jpg,images/logos/caja-rural.jpg,caja-rural.jpg,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/creartbox.jpg,creartbox.jpg,images/logos/creartbox.jpg,creartbox.jpg,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/diego-silva.jpg,diego-silva.jpg,images/logos/diego-silva.jpg,diego-silva.jpg,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/eu.png,eu.png,images/logos/eu.png,eu.png,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/goethe.png,goethe.png,images/logos/goethe.png,goethe.png,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/opus71.jpg,opus71.jpg,images/logos/opus71.jpg,opus71.jpg,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/paradores.jpg,paradores.jpg,images/logos/paradores.jpg,paradores.jpg,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/paris.jpg,paris.jpg,images/logos/paris.jpg,paris.jpg,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/portopiano.jpg,portopiano.jpg,images/logos/portopiano.jpg,portopiano.jpg,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/logos/reina-sofia.jpg,reina-sofia.jpg,images/logos/reina-sofia.jpg,reina-sofia.jpg,src/components/Footer.astro | src/components/home/Home.astro,2,logos,,no,no,yes,pending
/uploads/image/1759927182_ballarte_sm.png,1759927182_ballarte_sm.png,images/logos/1759927182-ballarte-sm.png,1759927182-ballarte-sm.png,src/content/pages/ast/partners.md | src/content/pages/en/partners-2.md | src/content/pages/es/red-de-colaboracion.md,3,logos,,no,no,yes,pending
/adarimages/094.jpeg,094.jpeg,images/shared/094.jpeg,094.jpeg,src/content/pages/ast/artistes.md | src/content/pages/ast/equipu.md | src/content/pages/en/team.md | src/content/pages/es/artistas.md | src/content/pages/es/equipo.md,5,shared,,yes,yes,yes,pending
/adarimages/78e28e_662f092233ee41e3ba36d51a977adb20_mv2_d_3311_3310_s_4_2.jpeg,78e28e_662f092233ee41e3ba36d51a977adb20_mv2_d_3311_3310_s_4_2.jpeg,images/artists/78e28e-662f092233ee41e3ba36d51a977adb20-mv2-d-3311-3310-s-4-2.jpeg,78e28e-662f092233ee41e3ba36d51a977adb20-mv2-d-3311-3310-s-4-2.jpeg,src/content/pages/ast/artistes.md | src/content/pages/es/artistas.md,2,artists,,no,yes,yes,pending
/adarimages/ADAR_Eventos/2021/14_Concierto_de_Inauguracion_en_Leiguarda/PXL_20220813_175510704.jpg,PXL_20220813_175510704.jpg,images/memoria-de-acciones/2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy/pxl-20220813-175510704.jpg,pxl-20220813-175510704.jpg,src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021-ast-copy.md | src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021.md | src/content/posts/en/opening-concert-in-leiguarda-2.md | src/content/posts/en/opening-concert-leiguarda-2021.md | src/content/posts/es/concierto-de-inauguracion-en-leiguarda-2.md,10,memoria-de-acciones,2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy,no,yes,yes,pending
/adarimages/ADAR_Eventos/2021/14_Concierto_de_Inauguracion_en_Leiguarda/PXL_20220813_175723812.jpg,PXL_20220813_175723812.jpg,images/memoria-de-acciones/2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy/pxl-20220813-175723812.jpg,pxl-20220813-175723812.jpg,src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021-ast-copy.md | src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021.md | src/content/posts/en/opening-concert-in-leiguarda-2.md | src/content/posts/en/opening-concert-leiguarda-2021.md | src/content/posts/es/concierto-de-inauguracion-en-leiguarda-2.md,10,memoria-de-acciones,2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy,no,yes,yes,pending
/adarimages/ADAR_Eventos/2021/14_Concierto_de_Inauguracion_en_Leiguarda/PXL_20220813_180027994.jpg,PXL_20220813_180027994.jpg,images/memoria-de-acciones/2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy/pxl-20220813-180027994.jpg,pxl-20220813-180027994.jpg,src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021-ast-copy.md | src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021.md | src/content/posts/en/opening-concert-in-leiguarda-2.md | src/content/posts/en/opening-concert-leiguarda-2021.md | src/content/posts/es/concierto-de-inauguracion-en-leiguarda-2.md,10,memoria-de-acciones,2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy,no,yes,yes,pending
/adarimages/ADAR_Eventos/2021/14_Concierto_de_Inauguracion_en_Leiguarda/PXL_20220813_181621975.jpg,PXL_20220813_181621975.jpg,images/memoria-de-acciones/2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy/pxl-20220813-181621975.jpg,pxl-20220813-181621975.jpg,src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021-ast-copy.md | src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021.md | src/content/posts/en/opening-concert-in-leiguarda-2.md | src/content/posts/en/opening-concert-leiguarda-2021.md | src/content/posts/es/concierto-de-inauguracion-en-leiguarda-2.md,10,memoria-de-acciones,2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy,no,yes,yes,pending
/adarimages/ADAR_Eventos/2021/14_Concierto_de_Inauguracion_en_Leiguarda/PXL_20220813_183445582.jpg,PXL_20220813_183445582.jpg,images/memoria-de-acciones/2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy/pxl-20220813-183445582.jpg,pxl-20220813-183445582.jpg,src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021-ast-copy.md | src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021.md | src/content/posts/en/opening-concert-in-leiguarda-2.md | src/content/posts/en/opening-concert-leiguarda-2021.md | src/content/posts/es/concierto-de-inauguracion-en-leiguarda-2.md,10,memoria-de-acciones,2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy,no,yes,yes,pending
/adarimages/ADAR_Eventos/2021/14_Concierto_de_Inauguracion_en_Leiguarda/image4.jpg,image4.jpg,images/memoria-de-acciones/2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy/image4.jpg,image4.jpg,src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021-ast-copy.md | src/content/posts/ast/conciertu-inauguracion-lleiguarda-2021.md | src/content/posts/en/opening-concert-in-leiguarda-2.md | src/content/posts/en/opening-concert-leiguarda-2021.md | src/content/posts/es/concierto-de-inauguracion-en-leiguarda-2.md,10,memoria-de-acciones,2026-03-10-conciertu-inauguracion-lleiguarda-2021-ast-copy,no,yes,yes,pending
